ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
23-10131-3303,"CAP SUPER SMT 330mF 3.6V 85C 12.5mmD 8.5mmH RoHS",DIG100,"DVS-3R6D334T-R5",ELN500,"Elna America",1,2.762000000000000000,2.429114,2.429114,,0,ELANSR,0.000000
23-10132-0107,"CAP EL SMT 100uF35V 20PCTLESR105C 6.6mmDx6.6mmH RoHS",WUR100,"865080545012",,,1,0.080000000000000000,0.080000,0.084694,,0,ELANSR,709.000000
23-10133-0477,"CAP EL 35V 20% 105C SMT 470uF 8mmD X 10.5mmH RoHS",DIG100,"EMZS350ARA471MHA0G",UNI500,"United Chemicon",2,0.299000000000000000,0.299000,0.299000,,0,ELANSR,63.000000
23-10134-0157,"CAP EL 150UF 35V 20PCT 105C 8MMD 16MMH RoHS 27 weeks",DIG100,"860020574010",WUR500,"Wurth Electronics",6,0.125100000000000000,0.109763,0.151609,,0,ELANSR,148.000000
23-10135-A001,"CAP EL 47UF 20% 50V RADIAL,105C, 5mmLS, 11.2MMx6.3MM",DIG100,"ECA-1HHG470B",PAN500,"Panasonic",2,0.072900000000000000,0.075000,0.072912,,0,ELANSR,879.000000
23-10136-0106,"CAP ALUM 10UF 25V 20% RADIAL 5mmD x 12mmH x 2.5mmLS RoHS",DIG100,"UPS1E100MDD1TD",NIC500,"Nichicon EOL  3/21/2023",4,0.084180000000000000,0.049000,0.068240,,0,ELANSR,1062.000000
23-10138-0227,"CAP EL 220uF 16V 20% 105C RAD 8mmD x 10mmH x 3.5 / 5mmLS",DIG100,"ER1C221MP50807EF5R",CHI501,"Chinsan (Elite)",6,0.112000000000000000,0.083236,0.106451,,0,ELANSR,2164.000000
23-10139-0475,"TANT, CAP, 47UF, 16V, 10%",AVN100,"293D476X9016D2TE3",VIS500,"Vishay",2,0.286000000000000000,0.286000,0.271438,,0,ELANSR,321.000000
23-10140-0106,"CAP TANT 10UF 10% 10V 0805",TTI100,"TACR106K010R",KYO500,"Kyocera",1,1.088520000000000000,1.477211,1.477211,,0,ELANSR,245.000000
23-10141-0337,"CAP, EL, SMT, 330UF, 16V, 20PCT, LL, 105C, 6.3MMD, 8MMH, RoH",DIG100,"EEE-FTC331XAP",PAN500,"Panasonic",4,0.382000000000000000,0.382000,0.378275,,0,ELANSR,505.000000
23-10143-0227,"CAP EL 220uF 25V 20% 105C SM 6.3mmD X 8mmH RoHS",DIG100,"25TPV220M6.3X8",RUB500,"Rubycon",5,0.356000000000000000,0.172000,0.201947,,0,ELANSR,564.000000
23-10144-4703,"CAP SUPER SMT 470mF 3.5V 70C 10.5mmD 8.5mmH RoHS",TTI100,"FC0V474ZFTBR24",KEM500,"Kemet",2,1.300000000000000000,1.485000,1.301136,,0,ELANSR,110.000000
23-10146-0477,"CAP, EL, TH, 50V, 20%, RADIAL, 10mmD x 5mmLS x 22mmH, 10000h",DIG100,"50ZLJ470M10X20",RUB500,"Rubycon",1,0.284900000000000000,0.381000,0.407603,,0,ELANSR,1.000000
23-10147-0227,"CAP AL POLY SM 220UF 16V 20PCT 105C 6.3mmD x 6.1mmH",DIG100,"16SVPK220M",PAN500,"Panasonic",3,0.469000000000000000,1.840000,0.499169,,0,ELANSR,2005.000000
23-10148-0226,"!!CAP EL SM 22uF 50V 20% 85C 6.3mmD x 5.8mmH x 6.6mmLS RoHS",TTI100,"EEE-1HA220WP",PAN500,"Panasonic NRFND",1,0.077100000000000000,0.008700,0.077100,,0,ELANSR,1975.000000
